FovWord,FovCol,ParaWord,ParaCol,ParaPos,Compatibility,Condition,Trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,voicekey.keys,voicekey.rt,voicekey.started,voicekey.stopped,mic.filename,ISI.started,ISI.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
BLUE,white,PUB,YELLOW,"[-0.4, 0]",ic,para_dis,7,0,27,27,26,None,,98.3312535999994,100.33068819999971,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785702.336.wav,0.014818219999142457,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,YELLOW,BLUE,white,"[0.4, 0]",ic,fov_dis,12,0,28,28,46,None,,101.31400190000022,103.31367030000001,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785705.319.wav,0.015553819999695406,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,white,YELLOW,RED,"[0.4, 0]",ic,para_unified,16,0,29,29,63,None,,104.33019629999944,106.32952660000046,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785708.316.wav,0.0156836200003454,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,white,BLUE,YELLOW,"[-0.4, 0]",ic,para_unified,15,0,30,30,58,None,,107.31282979999924,109.31235650000053,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785711.318.wav,0.015684719999626395,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
BLUE,YELLOW,PUB,white,"[0.4, 0]",ic,foveal_unified,4,0,31,31,14,None,,110.3125418999989,112.3119373999998,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785714.317.wav,0.014773619999687071,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,white,SHORT,GREEN,"[0.4, 0]",c,para_dis,6,0,32,32,21,None,,113.32824210000035,115.32814619999954,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785717.333.wav,0.01292311999895901,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,YELLOW,BLUE,white,"[-0.4, 0]",ic,fov_dis,11,0,33,33,42,None,,116.32759239999905,118.32780929999899,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785720.332.wav,0.013190819998271763,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,GREEN,SHORT,white,"[0.4, 0]",c,foveal_unified,2,0,34,34,5,None,,119.32741799999894,121.32655630000045,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785723.333.wav,0.014712420001160353,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,white,BLUE,BLUE,"[-0.4, 0]",c,para_unified,13,0,35,35,50,None,,122.32692990000032,124.3262751000002,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785726.333.wav,0.012830219999159453,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,white,ROOM,GREEN,"[0.4, 0]",ic,para_dis,8,0,36,36,28,None,,125.32623740000054,127.32579350000015,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785729.332.wav,0.01476412000010896,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,white,ROOM,RED,"[0.4, 0]",c,para_dis,6,0,37,37,20,None,,128.30896480000047,130.30888190000042,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785732.314.wav,0.014450819999183295,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
BLUE,white,PUB,BLUE,"[-0.4, 0]",c,para_dis,5,0,38,38,18,None,,131.32465629999933,133.32454429999962,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785735.330.wav,0.014745419997780118,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,white,BLUE,BLUE,"[0.4, 0]",c,para_unified,14,0,39,39,54,None,,134.32429319999937,136.32402720000027,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785738.329.wav,0.014711220001117908,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
YELLOW,RED,WEEKLY,white,"[-0.4, 0]",ic,foveal_unified,3,0,40,40,11,None,,137.32414489999974,139.32340040000054,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785741.330.wav,0.013023920000705402,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
BLUE,YELLOW,PUB,white,"[-0.4, 0]",ic,foveal_unified,3,0,41,41,10,None,,140.32292589999997,142.32270699999935,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785744.329.wav,0.014807519997702911,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,white,ROOM,GREEN,"[-0.4, 0]",ic,para_dis,7,0,42,42,24,None,,143.32241090000025,145.32209309999962,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785747.327.wav,0.013124419998348458,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,YELLOW,YELLOW,white,"[0.4, 0]",c,fov_dis,10,0,43,43,39,None,,146.32184959999904,148.32148059999963,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785750.328.wav,0.013099119998514652,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
BLUE,white,PUB,BLUE,"[0.4, 0]",c,para_dis,6,0,44,44,22,None,,149.32111710000027,151.32081259999904,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785753.327.wav,0.013303419998919708,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,RED,YELLOW,white,"[-0.4, 0]",ic,fov_dis,11,0,45,45,43,None,,152.3207050000001,154.32037709999895,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785756.327.wav,0.01316011999915645,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,GREEN,SHORT,white,"[-0.4, 0]",c,foveal_unified,1,0,46,46,1,None,,155.32008750000023,157.31946889999926,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785759.326.wav,0.014838919998510391,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
ROOM,GREEN,RED,white,"[0.4, 0]",ic,fov_dis,12,0,47,47,44,None,,158.31954760000008,160.31885909999983,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785762.325.wav,0.014745020000191289,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,RED,YELLOW,white,"[0.4, 0]",ic,fov_dis,12,0,48,48,47,None,,161.31910679999964,163.31860020000022,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785765.323.wav,0.013032720000410336,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,white,YELLOW,RED,"[-0.4, 0]",ic,para_unified,15,0,49,49,59,None,,164.30177120000008,166.30131149999943,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785768.308.wav,0.012601019998328411,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
ROOM,white,RED,RED,"[0.4, 0]",c,para_unified,14,0,50,50,52,None,,167.31779520000055,169.31736640000054,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785771.323.wav,0.014775619998545153,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,BLUE,BLUE,white,"[0.4, 0]",c,fov_dis,10,0,51,51,38,None,,170.33373459999893,172.3335191999995,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785774.339.wav,0.013882719998946413,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
BLUE,BLUE,PUB,white,"[-0.4, 0]",c,foveal_unified,1,0,52,52,2,None,,173.31651039999997,175.31656309999926,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785777.322.wav,0.014831719998255721,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
